ID,Reviews,Label
Train_User_13,"Upon arriving I see modern yet elegant decor which is pleasing to the eye. The front staff are very friendly. The room was clean including details, I'm talking no dust,no hair in bathroom-shower or beds which I tend to find in other hotels. Kudos to housekeeping. Sheets were crisp,beds were comfortable especially since this is a newer hotel. Breakfast in... More",Excellent
Train_User_14,This is a nice hotel with great staff. I have young children and the entire staff from the front desk staff to the breakfast staff were there to help us. This was our first visit to the Portland area and we plan to go back later this summer. We will stay at this hotel when we return.,Excellent
Train_User_15,"Beautiful property and every staff member I encountered (front desk, housekeeping, breakfast hosts and GM) provided beyond excellent customer service! It's also conveniently located near restaurants, grocery stores starbucks and is a short drive to the freeways. I will definitely be back!",Excellent
Train_User_16,Old hotel with many remaining architectural charms and most modern amenities. The staff is exceptional: friendly and very accommodating. Has a little bit of the wear tear around the edges associated with an historic building but remarkably clean. Passed the allergy test.,Good
Train_User_17,Very comfortable room. Our son came and they had a couch that they pulled out into a queen size bed. Free wifi and bottled water. This hotel was built back in the 20's and the decor is fabulous. A very neat hotel.,Excellent
Train_User_18,Stayed here for second time recently. Gorgeous lobby. Friendly staff. Good free shuttle service. Our room this time was disappointing. King bed in too small space so that one side did not even have a lamp. Also the heating/cooling unit was right next to the bed and very noisy so we turned it off. Luckily it was not needed. Room... More,Average
Train_User_19,"My husband and I always try to stay at the Hotel Phillips when we are in Kansas City. It is our favorite hotel and we have stayed at many. I feel at home there and the staff has always been exceptional, although we are not particularly demanding guests. Over the years we have probably spent at least 20 nights there.... More",Excellent
Train_User_20,"Just stayed one night but very happy. Nice, comfortable top floor room. Staff could not have been more helpful. Great location right by the Power Light district. Be prepared to pay for valet parking. Price of this was Offset though by free wine and cheese reception.",Good
Train_User_21,"Everything was sold out in State College for Garth's concerts and the Inn came up as available...what an amazing find!! I'll be making the drive now each visit, just to stay there! The Inn is wonderfully decorated and I so enjoyed browsing all the books. Breakfast was amazing each morning. Thank you Stephanie and team!!",Excellent
Train_User_22,I work here in Perry about 6 days out of the week. The People here are very friendly and willing to make your stay better. The hotel is great for my simple needs as I'm away from home. The rooms and hallways smell very clean each time I enter and leave. I will continue my business here for sure.,Excellent
Train_User_23,"The hotel is just one of many that are on this new trend of firmer pillows and mattresses. This is the third hotel I have stayed in the last few months that have had firmer vs softer mattresses in their rooms. Aside from the bed The room was well appointed, comfortable and really The bonus Those super plushy and comfy robes in the closet. I miss a good hotel robe and this one had one!! Another little thing I loved was the spa water and coffee service in the lobby. High quality coffee and the New York Times Count me in! The maid service was friendly, attentive, and I even got a little note. Would totally stay again.",Excellent
Train_User_24,"excellent location near convention center. friendly, willing staff. not a true luxury hotel in terms of the room I received, but a comfortable clean room, I didn't really need any more than that. After all you're here to visit San Francisco, not the hotel.",Good
Train_User_25,"Hotel Zelos was a great place to stay in San Francisco. The staff is definitely the highlight of the hotel. The hotel itself is great: clean, well decorated, etc, but the people who work there were very helpful and friendly. The location is great being right next to the Powell BART station but the neighborhood is under construction. This obviously isn't the fault of the hotel and won't impact your stay. We couldn't hear any of the construction, but it makes it a little more difficult to get around. Overall, I definitely recommend Hotel Zelos!",Excellent
Train_User_26,"Pros: the location is awesome, the room size is great, the bathroom is nice also with a nice tub. Bad: the style and furniture starts to get really old, no breakfast despite the high price, the price is high, nothing exeptionnal... We were 4 people and so 4 reservations. Unfortunately one was missing. It was 1am so very bad surprise.... More",Average
Train_User_27,After getting the bait and switch I decided I'd rather stay anywhere else. I'm sure I wasnt missing much as it looks like project style crack house apartments. The front desk (old middle eastern lady) was extremely rude and up charged me 50 when I got there! I travel and stay in hotels 250 days/ year and trust me this... More,Pathetic
Train_User_28,"We had no choice but to stay here when a tornado hit the area and most of Vineland was without power. They charged us 190 for one night, wouldn't accept my AAA card and after leaving, we found out, we had been charged for 4 cats (which we don't own) and for another person. It was only my husband and... More",Pathetic
Train_User_29,"Hotel is in the perfect spot at the perfect price with the not so perfect view. Expedia rep said that it was facing the water and in a way it was but at a 45 degree angel past the parking lot and a few other obstructions. You have to stretch your neck at the furthest corner of the window to gain a peak. But it was still good though. The room sleeps like nobody's business. Once your head hits the pillows its light out. What I did not like was the front desk personnel. They really did not like there job and it showed. No eye contact, no smiles, no small talk, and what really disturbed me was at check in when I was told to sign this that's how it was put. I was like what is it Just sign - its nothing. Sir What am I signing. Oh if you have a party and smoke we can charge you 250.00(eyes still on monitor). Well sir. Tell me that. Next. Came back later that night to get snacks out of the cupboard. Over priced but I expected that but the person at the front desk was lifeless and didn't not even give me a total. She just says. Its charged to your room and kept staring at her monitor(again the monitor). WOW. But what makes up for some of the small inconsistencies is that fact that the water is in walking distance. The Ferris wheel is right there and Gaylord Hotel is right across the street. Good energy in the area and great spots to eat(Redstone) . Cant wait to visit again. Thanks for the snacks!",Good
Train_User_30,Excellent experience. Will come again and book stay in the future,Excellent
Train_User_31,"heat in room did not work properly, tv remote was broken excessive noise",Bad
Train_User_32,"Even though we were having problems, i.e. Feather allergy, Flat tire, key not working...the front desk personell were always gracious and helpful.",Excellent
Train_User_33,"Brand new hotel in brand new retail area on the water. Easy to access off the beltway. Friendly staff, clean rooms, comfortable beds. Only complaint is that the full offering of the Hampton Inn breakfast was not available at the two times we came down (at 7am and 9am on a Saturday). The food at 9am had been in the bin too long. Still more choices than the continental breakfast at other places, including make-you-own waffles and yummy egg burritos. The fee for parking in the community garage was free with room key and even included a convenient room key drop upon final exit. Pool but no hot tub.",Good
Train_User_34,It was a great stay,Excellent
Train_User_35,"My sister came into town so we decided to go to The National Harbor for a night. Checking in, the hotel staff was very pleasant. Parking is in a garage behind the hotel, for 18. Our room was clean with nice views. The bed was very comfortable. We were able to walk comfortably to the harbor and sightsee. There are also restaurants and bars within walking distance. Breakfast was great, with canadian bacon and sausage patty meat options. There was also a waffle station, eggs, potatoes, fruit, yogurt, cereal, muffins, and other pastries. Checkout was a breeze, and the front desk staff again, was very pleasant. I very much enjoyed my stay and I will definitely return!",Good
Train_User_36,Free breakfast! Attentive staff Fantastic location,Excellent
Train_User_37,"Excellent experience. Due to a mix-up on my part with the online travel service it was set up as a king rather than two queen beds, for two guys. I immediately called at the time and Hampton said they would make a note that a room with two queens was needed. When i got there, they didn't have a 2-queen room so they put me up in another king room (and my buddy stayed in the original room) at NO additional expense, and I moved to a 2-queen room the next day. That is awesome, customer-oriented service.",Excellent
Train_User_38,The room was really big and clean. The staff was great. The hotel offers free breakfast that was really good ( not the usual crappy free breakfast) The only thing I didn't like about the room was that the air conditioner was regulated a motion sensor. We happened to be staying here on one of the hottest days of the year. The unit only stays on if the motion censor registers a person being in the room. Upon arriving the room was hot. It took about 20 mins for it to cool off. Also the AC cut off during the night when we fell asleep (No movement). I woke up in a pool of sweat and had to get up a walk around periodically to keep the AC going. That really sucked..,Excellent
Train_User_39,THE LOCATION OF THE HOTEL WAS OUTSTANDING. BUT THERE IS AND ADDITIONAL COST FOR PARKING JUST KEEP THAT IN MIND . IF YOU PAY FOR PARKING AT THE TIME YOU CHECK - IN BE SURE TO HAVE IT OUT BEFORE 1 PM THE NEXT DAY,Good
Train_User_40,"was too quick, but very nice area",Good
Train_User_41,"clean, good area, very kind crew, easy to park",Good
Train_User_42,We had a great overnight trip to the National Harbor near DC. All of the sites and entertainment were within walking distance!,Good
Train_User_43,I loved my stay VIP service all the way. I didn't want to leave. I can honestly say I will visit again. I give it 5 stars,Excellent
Train_User_44,"The only problem I have was their sensorize INNCOM thermostat for air conditioning unit to start-up. If there are not movement inside the room, it will not kick in..... sucks!! the trick is, you have to keep moving while sleeping to keep the AC running (LOL)....",Excellent
Train_User_45,"Convenient and comfortable. Staff is great, breakfast and WiFi is a bonus.",Excellent
Train_User_46,I was really disappointed with the TV service. Very few channels and poor quality.,Average
Train_User_47,"Awesome, Overall",Excellent
Train_User_48,Better with more extras like breakfast. Preferred place to sleep for conference.,Excellent
Train_User_49,Very good experience. Staff was great. Enjoyed my times especially after my previous fiasco at that other hotel.,Good
Train_User_50,"The hotel is located near all the attractions on the Harbor. We were provided more than we expected. There was parking right across the street restaurants within 5 minute walking distance and most of all hot and cold continental breakfast in the morning and hot coffee and tea available all day in the lobby. The rooms were very comfortable. I slept just like I was at home. Oh, I can't forget the staff: they were on their job with an attitude of excellence!",Excellent
Train_User_51,"Repeat trip to this hotel for national conference attendance. Provides a quality stay, business center kept me in touch and great value for limited travel budget.",Excellent
Train_User_52,I can't comment on the breakfast because we slept through it but everything else was excellent! I dont know why anyone would pay twice the price to stay at the Gaylord. 5 stars all the way!,Excellent
Train_User_53,Our room was a bit small. There was no microwave in the room. Location was more for couples than for family. The room itself And service were excellent.,Excellent
Train_User_54,"This hotel is a peach. The staff are friendly, the hot breakfast filling and the rooms are immaculate. This should be a poster child for how to run a hotel.",Excellent
Train_User_55,"Hampton Inn never disappoints. Always an affordable, clean hotel with attentive and friendly staff. The breakfast is always a plus too. Also, the National Harbor is a nice area full of shops and dining choices and seems to be a family friendly hangout destination for locals.",Excellent
Train_User_56,I stayed here with some friends for a convention. It was a good room and the free breakfast was nice.,Good
Train_User_57,"The hotel offers comfortable, somewhat elegant rooms but I suppose I was more impressed with the personnel and the warmth you get interacting with them. But for my phone call bills which seemed a bit high, my stay overall was great.",Excellent
Train_User_58,"We were there for 3 nights and used it as a staging area for sightseeing in DC and Baltimore. It's a nice, new hotel with reasonable rates. The staff was great with our kids, who had a blast at the pool and the 24/7 snack bar. The continental breakfast was great, but they should consider expanding their hours or at least allowing guests to finish the food that is out at 10, because every morning the food was taken away promptly at 10:00 even though the area was packed with guests still trying to get breakfast. Parking was 13/day and right across the street, which is quite reasonable for the DC area.",Excellent
Train_User_59,"Reasonable rates with free breakfast and right in front of Gaylord National Resort worked for me very well. The rooms have good size bathrooms and the air conditioning in the rooms was excellent. Parking is 11 per day and that is why I did not give it 5 stars. However, at National Harbor 11 is not bad especially when Gaylord charges double of it per day.",Good
Train_User_60,"We hosted our annual Client Event at The Grand Del Mar and it was excellent!! The service, property, rooms, restaurants, and GOLF absolutely magnificent. Our conference managers were a gem, great service! Thank you for making an important event run so smoothly.",Excellent
Train_User_61,"We enjoyed every minute of our stay in this breathtaking luxurious resort. The hotel is well kept and boasts caring and attending staff that do their best to make your stay memorable. The hotel offers great rooms, amenities and activities for all ages. I fell and fractured my hand on the last day of our stay (off property) and the... More",Excellent
Train_User_62,"We arrived here very tired after 24 hours of travel and airports and from the moment we arrived we felt like royalty. We dined a Amaya multiple times (please see separate review). The room was stunning and more than we could ever expect, nothing was to little for the staff and they all seemed genuinely friendly even down to the... More",Excellent
Train_User_63,"Stayed here for Thanksgiving and had the best experience. Before we arrived they asked my three year old little boy's name and when we arrived they had the most adorable kids travel pillow and personalized cookie waiting for him. They had children's games on the lawn right outside our bottom floor room, 105, and he had his face painted for... More",Excellent
Train_User_64,"This exquisite property located in the penasquitos canyon of North County is a spectacular retreat. In a setting resembling a Mediterranean villa, the hotel is truly grand, with spacious rooms, several dining options and cozy sitting areas to relax and soak up the well appointed spaces and beautifully manicured grounds. The resort amenities include golf, tennis, heated pools and a... More",Excellent
Train_User_65,"Five of the last six years, our company has hosted our annual meeting at the Grand Del Mar (and we regret not having it six out of six years). The GdM may be the top place to stay in the US, thus my recommendation is in the title of the review. The GdM is not inexpensive, but it is worth... More",Excellent
Train_User_66,We drove down for a weekend getaway and to celebrate a special birthday. Our infant son accompanied us. The room was nice but the bathroom was fabulous. We appreciated the separate large shower from the tub and the private toilet. I wasn't as much of a fan of the closet being inside the bathroom as it was a trip to... More,Good
Train_User_67,This resort is GORGEOUS!! Check in was perfect our room wasnt ready (we were there early) so they took my phone number while we had drinks by the pool and in 20 mins or so our room was ready! The next day we had spa appts and the receptionist heard it was our honeymoon trip so after our massages we... More,Excellent
Train_User_68,The resort and staff are wonderful. The hotel is very nice and the groups are beautiful. The location is secluded so you need a rental car or to book the house car in advance. The concierge staff has not been to most of the spots so use trip advisor to help find the right places.,Excellent
Train_User_69,"This is a very, very, very good hotel. My expectations were high because of the reviews I had read and it didn't quite meet my expectations. I know I'm knit-picking but while the abundance of fresh flower petals in my room were very nice I would gladly have traded them for a room service breakfast with hot coffee, hot ham... More",Good
Train_User_70,"Expensive Yes. Service Above the norm! Nickel and dime you on the small stuff Nope! (one of my pet peeves if you are going to stay at a hotel of this caliber) This property gives you 5 star service. Forgot your work out clothes Let the staff know your size. Need some feminine products, be there in 5 minutes. The... More",Excellent
Train_User_71,"If you don't mind staying out of town, the Fairmont Grand Del Mar is a top quality choice for San Diego located about 25 minutes north of the airport. It is a large traditional colonial property, with a beautiful golf course on the west side of the grounds, ample parking, equestrian facilities and a good spa (which has the best... More",Excellent
Train_User_72,"This property is absolutely pristine. The grounds are perfectly maintained, the rooms are luxurious with exquisite detail and the hotel in general is just a site to see. The location is great if you want to be away from the city and in a quiet area with gorgeous views of the hills (but close enough to to drive to Del... More",Excellent
Train_User_73,"I love The Grand Del Mar in Del Mar California. This might have been my 6th time there. It is the only hotel in the area that i will stay at. It is truly a 5 star property. The staff is professional and very attentive. The rooms are very spacious, with marble bathrooms and separate shower and soaking tub. The... More",Excellent
Train_User_74,"We had a wonderful stay at the Fairmont! This is an excellent hotel, with great attention to detail including hotel grounds, architecture, amenities and staff. Service is first class and natural, you are made to feel very welcome. Great looking golf course, and plenty of other activities to enjoy such as walking, the pool, tennis. Or just relax in the... More",Excellent
Train_User_75,"To date, this takes the prize. It did not overwhelm me but I was, over the four days I stayed, consistently well served and impressed at the degree of detail that was maintained in every aspect of the experience. In the same way that the hotel service was a consistently delivered, high degree of service, without being over the top,... More",Excellent
Train_User_76,It's a great place to stay and leave a car if you are flying out. The courtesy shuttle takes 10 minutes to get to O'Hare.,Good
Train_User_77,"Give Robert a raise! We were trying to catch a flight from O'Hare to ATL early in the morning and my girlfriend forgot her phone in the room. Luckily, we called and he managed to get the phone as we made our way back on the provided shuttle bus. Orlando the shuttle driver was quick to pull us into our... More",Excellent
Train_User_78,Average hotel for decent price. It was balanced. Housekeeping did leave our door only ajar after cleaning one day. Arrrggghhhh!!!!! Nothing was missing.,Average
Train_User_79,The room key did not work i to go to lobby 4 times no parking under heavy construction noise the staff very incompetent I will not come back to this hotel,Average
Train_User_80,We Had the best time ever! r r What a ball we had at Clarion Resort Waterpark! r r The place was large enough to have plenty of rides but small enough to walk comfortably. r r The entire facility is NEW and all the rooms are well,Excellent
Train_User_81,"Awesome hotel. Virgin really took the time to figure out all things at are frustrating about staying in a hotel and fixed them - kudos!!! The hotel will become a regular haunt in the future. From free wifi, free cocktails, a mini bar you're not terrified to touch, not to mention the no check out time, they really are way ahead of the rest. Oh by the way did I mention the really cool room... Awesome! Highly recommend the hotel. From young teens to my parents in their 70's the hotel met our every need.",Excellent
Train_User_82,"Bad: The bed wasn't that comfy, which was surprising given all of the other amazing details. Sheets were rough/stiff- not cozy. Could be easily fixed, though!. Good: This was by far one of the best hotel experiences I've ever had. Check-in and check-out was super fast, staff was phenomenal, and the room was very intuitively set-up with thoughtful details technology. It was clear that Virgin isn't just a typical hotel. The chamber set-up of the room allowed for privacy comfort, even in a relatively small space. Snacks mini-bar had 7-11 prices. Everything was super clean, well serviced and wonderful. In short: STAY HERE!",Excellent
Train_User_83,"Bad: Noisy in lower floors, but not at all at higher ones. Good: Very comfy beds, great lobby/bathroom",Excellent
Train_User_84,Good: Staff went out of their way after checkout to locate an item I had left in the room. The room had already been cleaned and the staff got the item back to me as quickly as possible. Roof top bar was beautiful.,Excellent
Train_User_85,"Bad: A little bit of noise from the 'L' down below, but then again that is part of the character of the city. Good: Overall cleanliness, new feel, friendly efficient staff, great happy hour! Excellent location.",Excellent
Train_User_86,Bad: The room rate was terrible we had a Booking.com rate that was not honoured it soured the stay and was a big difference. We to date have no explanation!. Good: Location,Good
Train_User_87,Bad: Had a couple of glitches getting the room serviced but otherwise very friendly and helpful staff. Good: Great location. Nice rooms with exceptionally comfortable bed.,Excellent
Train_User_88,Good: A fun place to stay with great staff and lots going on in and around the hotel.,Excellent
Train_User_89,Would be nice if the duvet were in a duvet cover as I just get tangled between the flat sheets and the comforter Gym could really do with some more variety in terms of machinery - Its impossible to do much leg work as there is no squat rack with a bar - or even a smith machine which has multiple purposes Super helpful staff 24/7 - very accommodating of my unusual hours Room service menu is amazing Views are amazing Cerise Bar on the roof is epic and the bartenders are amazing I will be coming back and SOON!,Excellent
Train_User_90,Bad: The hotel is next to train tracks so there is some noise from that pretty often but it's really not so bad and you kind of have to expect some noise when you're staying at a hotel that's literally in the middle of the city. Good: Very tech friendly as the hotel has its own smartphone app which allows you to order room service and control the thermostat among other things. The staff is very friendly and accommodating. The room is designed very well. Also the price of the mini bar items are actually reasonable.,Excellent
Train_User_91,Bad: Loved everything about Virgin Hotel. Good: First and foremost the staff - just wonderful. Friendly and very patient with all the enquiries we made! And we were there for the historic parade to celebrate the Chicago Cubs World Series win and the icing on the cake was another historic win - Ireland beating the All Blacks after 111 years!,Excellent
Train_User_92,"Bad: A little sticker shock with 65/night valet parking, but I hadn't done my research for cheaper options, so not a big deal. Good: Super hip and definitely a young techy vibe, but everyone was friendly and helpful. Room was as described and very spacious for the location and price. Even though it is right at the corner of the L Tracks, sound wasn't a problem. Exactly what was needed!",Excellent
Train_User_93,"Bad: Everything was great. Good: Superior experience. Loved everything about this hotel. Very comfortable, well thought out and fun arrangement of the room, great shower and products, good restaurants, wonderful roof bar. Looking forward to the next visit!",Excellent
Train_User_94,"Bad: We were on the 9th floor and slept really well but could hear the metro. Earplugs are supplied which were useful to my husband. There were two tvs in our one bedroom suite but only one remote control - odd when we wanted to watch two different shows. Good: Absolutely perfect location in Chicago, within one block of the metro, walking distance to most of the top areas to visit and very good restaurants. Very comfortable room and bed, neat layout for the closet and vanity, wonderful shower, cool design features (Vespa chair, red fridge, furniture).",Excellent
Train_User_95,"Bad: Intermittent barking dog!. Good: Spacious suite, recommend end room on high floor",Excellent
Train_User_96,"Good: The suite was very well apointed, plenty of room for an inroom breakfast --the bed and bedding were very nice. The staff couldnt be nicer We had a great night on the rooftop deck.... we never left the propertysmall plates a DJ and wonderful views. Ill be back",Excellent
Train_User_97,"Bad: A very minor quibble: only one side of the bed had a nightstand. Good: Room design was well thought out and executed, making an average-sized space especially user-friendly for a couple. Also, the room had more power outlets than I've ever seen in a hotel room. Staff was helpful and friendly, second-floor bar was very nice.",Excellent
Train_User_98,Bad: The view. Good: Everything,Excellent
Train_User_99,"Beds were very comfortable, room amenities perfect. Enjoyed the lobby level coffee shop, roof top bar and happy hour on the 2nd level every evening. A great bonus!",Excellent
Train_User_100,"Bad: Timing seemed to be off. Had to wait a very long time for breakfast, longer than people who had come in after us. Had to wait a very long time for the valet to bring our car, seemed to be some kind of communication issue. They were nice about it, and so were we, but it seemed to be a theme, which was a bit of a disappointment. Good: Nicely appointed room, great location.",Excellent
Train_User_101,"Good: I loved the quirkiness and style of the hotel. The staff were so friendly and accommodating. The drinks at the bar were top notch and the price for the location was unbeatable. And the bed, the bed was perfect. I slept like a baby.",Excellent
Train_User_102,Bad: I was supposed to get a room with two beds and ended up with a room with one full bed for me and my husband.it was very small!.,Excellent
Train_User_103,Staff weren't helpful and no one tried to come and clean our room on several nights. Rooms were very small. Good location,Average
Train_User_104,Bad: Cost of the valet. Good: Location to the garden,Good
Train_User_105,"Bad: (Valet) parking is expensive. Room was a bit small. Good: Very pleasant experience. The room was good, clean and had a rich minibar. Very nice bar/restaurant/breakfast accomodation. Personell (we were helped by luckas) was extraordinary kind and helpful.",Excellent
Train_User_106,Good: Beautiful rooms and amenities - L'occitane products. The restaurant Finch great food and amazing bar. Loved the Boxer,Excellent
Train_User_107,Great location. Extremely comfortable bed and pillows. Wonderful friendly staff.,Excellent
Train_User_108,"Good: The room was very comfortable, great for a couple. We had a wonderful time, it was very conveniently located to the TD Garden, which is where we were attending a concert. It was also very close to the North End and Faneuil hall, which is a great area to visit for food options that are very plentiful.",Excellent
Train_User_109,the breakfast at 17 bucks was a bit of disgrace. it is a particular building.,Average
Train_User_110,"Bad: We had booked 2 rooms for our 3 night Boston trip - King Room for us and a Double Double (ie with 2 double beds) for our teenagers. I booked this in December for our July visit. I emailed twice before arrival to request that the rooms were close by (on the same floor) and both times got no reply - and that should have alerted me and to be honest sums up 'Boxer Customer Service'. On arrival we were told that there were no rooms available with 2 beds, the guy on reception seemed clueless how to help us. Our teenagers were supposedly 'upgraded' to a suite where my son had to sleep on a sofa / pull out bed (or share a King size bed with his sister). Totally unacceptable - I booked these rooms 6 months in advance. All in all we had interactions with 4 different staff members (including someone from Accounts who had to process a compensation refund) and at no time did either my wife nor I feel like the Customer . . . . you know the kind The PAYING Customer! So in terms of Comfort score - low because my son was on a sofa bed for 3 nights. In terms of Value for Money - low 1800 and my 16 year old son gets a sofa bed In terms of Staff score - low because they are in serious need of some Customer Service training. Good: The Boxer in Boston SHOULD be a fantastic hotel - it's a great building, location is excellent (we were able to explore everything that Boston has to offer from there), rooms are a good size but overall our stay was not as good as it should have been. Came away from our 3 night stay (planned and booked 6 months earlier) just feeling like we had been let down . . . .",Average
Train_User_111,Bad: poor room comfort no room for clothes very old bath accesories high price.,Good
Train_User_112,"Good: The whole 5 day experience at the hotel was superb- the room,staff and location were all perfect- thank you The Boxer second time staying with you and all requirements were met.",Excellent
Train_User_113,The location,Excellent
Train_User_114,Bad: Parking a little expensive.. Good: Close to TD Garden,Excellent
Train_User_115,Fitness center small and not well equipped. Good location.,Good
Train_User_116,Bad: Nothing. Good: The hotel was simply excellent. The coolest hotel I have ever stayed!,Excellent
Train_User_117,"I didn't like the size of the rooms, not as big as I thought they would be. I liked the central location to Downtown Boston.",Excellent
Train_User_118,"Good: Very quaint hotel, good location, great staff...amazing time!",Excellent
Train_User_119,"Bad: We had breakfast on two days in the hotel. One day (Sunday) the service was great - the next day it was very poor. While the hotel is quite central, the choice of restaurants very close to the hotel is not good. Good: Front desk staff were friendly and happy to give advice etc. Nice hotel with funky rooms. Room we had was a bit noisy at night - can turn the fridge off but still noise from air con or something else.",Good
Train_User_120,Bad: This is really not a reflection on the hotel but the valet parking does take a long time to retrieve your car. They tell you to allow 30 minutes and you really need to do that. Good: Friendly staff. Clean rooms.,Excellent
Train_User_121,Bad: Paying for parking. Good: Friendly and prompt service.,Excellent
Train_User_122,"Good: Perfection - beautiful rooms, comfortable beds, great style. Centrally located for all the fun things in downtown Boston.",Excellent
Train_User_123,"Good: The hotel environment, the staff went above and beyond to make our first trip to Boston better than we expected. Recommendations they made, help with directions, very friendly, didnt feel like a hotel, felt like staying with friends. Comfortable beds, cozy room, great food.",Excellent
Train_User_124,Bad: Room size. Good: The close proximity to TD garden,Good
Train_User_125,Bad: Room was small. Good: Free apples and fruit Infused Water in the lobby. Free bikes.,Good
Train_User_126,"Good: A marvelous location, very friendly crew, it's clear hotel where you feel you are in Boston!",Excellent
Train_User_127,Good: Its location.,Excellent
Train_User_128,Bad: The pull out couch was extremely uncomfortable. Good: Room was great. Staff was friendly and welcoming.,Excellent
Train_User_129,Room too small and ice machine broke nice too small rooms Free water and apples,Good
Train_User_130,the bed was very comfortable,Excellent
Train_User_131,"Bad: Sofa bed very uncomfortable. Good: Great restoration of classic building close to sports, shopping and financial district.",Good
Train_User_132,Bad: Room too small and ice machine broke nice too small rooms. Good: Free water and apples,Good
Train_User_133,"Bad: The pillows were very flat and uncomfortable, and there was no real blanket on the bed!. Good: Location, staff, aesthetics, price.",Excellent
Train_User_134,"Bad: I think the hotel could do more to promote the on site restaurant with newly arrived guests. My husband tried it and thought the food was great but if there'd been a deal or something to catch our attention I'm sure we'd have eaten breakfast there both mornings of our stay. I also think that although the space inside the rooms seems to be well used that there are some practical challenges with storage where existing space could be better used for the ease and comfort of guests. Good: Very comfortable beds. Not massive but cosy and we all slept well. The linens were clean and fresh and we enjoyed the L'Occitane products in the bathroom. The staff were friendly, kind and helpful.",Excellent
Train_User_135,Bad: The room lacked hanging space and was quite small. Good: The staff were friendly and helpful. The bar and restaurant were nice,Good
Train_User_136,"Bad: The minibar and the heating were noisy, but it didn't really disrupt our sleep. Breakfast was good, but perhaps the avocado toast was a bit small for the price. Good: The staff were all friendly and professional. Our room was clean and warm (it was cold out!) and had everything we needed. The drinks and food were very good, especially the Finch burger and the crab bennies at breakfast. Overall, we really liked the feel of the hotel and would definitely stay again, especially if we were going out of North Station again which is just around the corner.",Excellent
Train_User_137,Good: The location was perfect for walking to everything,Excellent
Train_User_138,"Bad: Shower didn't drain propery, was puddle in shower when we checked in. Someone else's shower water left over, very gross. Good: Very friendly staff.",Good
Train_User_139,Bad: Room servicing late in the day. Good: Great hotel. Friendly staff.,Excellent
Train_User_140,Nothing Very friendly staff and very helpful,Excellent
Train_User_141,Bad: The restaurant was closed for a refurb and as a result we had to eat our breakfast in the lobby on our knees. We had tiny plastic plates and plastic cutlery and a poor food choice . I was not informed by booking.com that this was the case . It was not the service we wanted for 675 dollars for 2 nights!!. Good: The room was good,Average
Train_User_142,"Bad: the room was not very big and a couple more hooks here and there would have been nice to hang coat, towels etc. Good: nice decoration, well located",Good
Train_User_143,Bad: Just want to say paying 330 for one night would have been nice too get breakfast included in the price. . Good: At least it wasnt too far from TD garden.,Average
